,시도코드,시도,시군구코드,시군구, 시점 ,총인구,20-39세 여성인구,65세 이상 인구,지방소멸위험지수,지방소멸위험분류,위도(x),경도(y),점수매기기
124,30,대전광역시,30200, 유성구,202302,"358,189","50,362","39,421",1.278,2,36.3625,127.3426,5.092966855295065
125,27,대구광역시,27170, 서구,202302,"158,968","15,037","41,182",0.365,4,35.8704,128.5564,78.90056588520615
126,27,대구광역시,27200, 남구,202302,"141,762","17,455","35,806",0.487,4,35.8313,128.6097,69.03799514955539
127,27,대구광역시,27140, 동구,202302,"338,610","37,685","73,867",0.51,3,35.8747,128.6269,67.17865804365401
128,27,대구광역시,27260, 수성구,202302,"410,761","43,069","72,552",0.594,3,35.8572,128.6336,60.38803556992725
129,27,대구광역시,27290, 달서구,202302,"537,040","61,971","90,070",0.688,3,35.8223,128.541,52.789005658852076
130,27,대구광역시,27230, 북구,202302,"429,014","50,088","71,085",0.705,3,35.8923,128.5916,51.414713015359744
131,27,대구광역시,27110, 중구,202302,"81,791","12,356","16,237",0.761,3,35.8683,128.5988,46.88763136620857
132,27,대구광역시,27710, 달성군,202302,"262,716","29,932","38,363",0.78,3,35.7989,128.4989,45.35165723524656
133,29,광주광역시,29110, 동구,202302,"106,101","14,060","23,529",0.598,3,35.1399,126.9194,60.064672594987876
134,29,광주광역시,29155, 남구,202302,"211,907","24,532","40,993",0.598,3,35.1333,126.9004,60.064672594987876
135,29,광주광역시,29170, 북구,202302,"424,013","52,848","71,358",0.741,3,35.1663,126.9185,48.504446240905416
136,29,광주광역시,29140, 서구,202302,"287,237","37,312","46,362",0.805,3,35.1502,126.8565,43.3306386418755
137,29,광주광역시,29200, 광산구,202302,"399,669","50,883","42,316",1.202,2,35.1729,126.8118,11.23686337914309
138,47,경상북도,47720, 군위군,202302,"23,277","1,050","10,101",0.104,5,36.1699,128.647,100.0
139,47,경상북도,47730, 의성군,202302,"50,042","2,354","22,310",0.106,5,36.3509,128.6874,99.83831851253031
140,47,경상북도,47920, 봉화군,202302,"30,048","1,365","12,071",0.113,5,36.8926,128.7439,99.27243330638643
141,47,경상북도,47750, 청송군,202302,"24,245","1,172","9,860",0.119,5,36.4331,129.0514,98.78738884397737
142,47,경상북도,47820, 청도군,202302,"41,664","2,084","16,981",0.123,5,35.6516,128.7189,98.46402586903801
