시도코드,CTP_KOR_NM,SIG_CD,시군구, 시점 ,총인구,20-39세 여성인구,65세 이상 인구,지방소멸위험지수,지방소멸위험분류,위도(x),경도(y)
41,경기도,41360, 남양주시,202302,"736,484","84,104","116,429",0.722,3,37.60400,127.16830
41,경기도,41500, 이천시,202302,"222,306","26,476","35,144",0.753,3,37.26470,127.44240
41,경기도,41610, 광주시,202302,"390,950","45,825","60,257",0.76,3,37.40850,127.25600
41,경기도,41150, 의정부시,202302,"463,053","59,726","78,351",0.762,3,37.73800,127.04730
41,경기도,41210, 광명시,202302,"286,584","35,242","45,466",0.775,3,37.47820,126.86470
41,경기도,41190, 부천시,202302,"787,673","102,368","127,274",0.804,3,37.50340,126.76670
41,경기도,41480, 파주시,202302,"495,810","59,824","74,364",0.804,3,37.75990,126.77590
41,경기도,41310, 구리시,202302,"188,436","23,702","29,446",0.805,3,37.60340,127.13960
41,경기도,41430, 의왕시,202302,"159,701","20,648","25,205",0.819,3,37.34450,126.97330
41,경기도,41461, 용인시,202302,"1,074,133","131,045","158,774",0.825,3,37.24110,127.17740
41,경기도,41463, 용인시,202302,"1,074,133","131,045","158,774",0.825,3,37.24110,127.17740
41,경기도,41465, 용인시,202302,"1,074,133","131,045","158,774",0.825,3,37.24110,127.17740
41,경기도,41410, 군포시,202302,"265,648","34,069","41,232",0.826,3,37.36110,126.93570
41,경기도,41170, 안양시,202302,"547,583","72,229","85,408",0.846,3,37.39430,126.95680
41,경기도,41131, 성남시,202302,"924,051","124,020","146,388",0.847,3,37.42320,127.13880
41,경기도,41133, 성남시,202302,"924,051","124,020","146,388",0.847,3,37.42320,127.13880
41,경기도,41135, 성남시,202302,"924,051","124,020","146,388",0.847,3,37.42320,127.13880
41,경기도,41280, 고양시,202302,"1,078,087","140,140","165,033",0.849,3,37.65840,126.83200
41,경기도,41570, 김포시,202302,"484,536","59,768","67,737",0.882,3,37.61530,126.71560
41,경기도,41290, 과천시,202302,"78,526","10,574","11,294",0.936,3,37.42740,126.98930
41,경기도,41450, 하남시,202302,"326,704","44,454","45,156",0.984,3,37.54040,127.21790
41,경기도,41220, 평택시,202302,"581,524","73,479","74,141",0.991,3,36.99460,127.09810
41,경기도,41271, 안산시,202302,"639,355","83,830","82,626",1.015,2,37.31550,126.82900
41,경기도,41273, 안산시,202302,"639,355","83,830","82,626",1.015,2,37.31550,126.82900
41,경기도,41110, 수원시,202302,"1,192,686","170,562","148,903",1.145,2,37.26360,127.02860
41,경기도,41370, 오산시,202302,"229,415","29,388","25,453",1.155,2,37.14990,127.07700
41,경기도,41390, 시흥시,202302,"515,058","65,157","55,737",1.169,2,37.38070,126.80690
41,경기도,41590, 화성시,202302,"918,865","121,509","90,638",1.341,2,37.19950,126.83120
42,강원도,42730, 횡성군,202302,"46,462","2,863","15,380",0.186,5,37.48870,127.98460
42,강원도,42770, 정선군,202302,"34,825","2,071","10,967",0.189,5,37.37910,128.81830
42,강원도,42760, 평창군,202302,"40,861","2,463","13,003",0.189,5,37.37030,128.39240
42,강원도,42750, 영월군,202302,"37,561","2,364","12,302",0.192,5,37.18490,37.18490
42,강원도,42830, 양양군,202302,"27,849","1,833","9,104",0.201,4,38.10610,128.62810
42,강원도,42820, 고성군,202302,"27,197","1,938","8,574",0.226,4,38.38030,128.46750
42,강원도,42720, 홍천군,202302,"67,815","4,912","20,388",0.241,4,37.69110,127.87870
42,강원도,42190, 태백시,202302,"39,131","2,685","11,012",0.244,4,37.15980,128.98500
42,강원도,42230, 삼척시,202302,"63,028","5,171","17,582",0.294,4,37.44420,129.16570
42,강원도,42780, 철원군,202302,"42,064","3,604","10,738",0.336,4,38.21530,127.25630
42,강원도,42790, 화천군,202302,"23,230","2,073","5,934",0.349,4,38.10520,127.70670
42,강원도,42170, 동해시,202302,"89,234","7,441","20,134",0.37,4,37.52090,129.12300
42,강원도,42800, 양구군,202302,"21,287","1,926","5,120",0.376,4,38.10590,127.98940
42,강원도,42810, 인제군,202302,"32,126","2,879","7,345",0.392,4,38.07010,128.17100
42,강원도,42150, 강릉시,202302,"210,940","20,149","50,013",0.403,4,37.75100,128.87640
42,강원도,42210, 속초시,202302,"82,685","7,836","17,721",0.442,4,38.20490,128.56440
42,강원도,42110, 춘천시,202302,"286,839","33,894","56,403",0.601,3,37.88160,127.72910
42,강원도,42130, 원주시,202302,"360,933","42,608","61,513",0.693,3,37.34180,127.92010
50,제주특별자치도,50110,제주도,202302,"677,090","75,165","116,547",0.645,3,33.49960,126.53120
50,제주특별자치도,50130,제주도,202302,"677,090","75,165","116,547",0.645,3,33.49960,126.53120
47,경상북도,47113, 포항시,202302,"495,229","46,748","99,567",0.47,4,36.01940,129.34340
45,전라북도,45113, 전주시,202302,"649,362","79,880","107,998",0.74,3,35.82420,127.14890
48,경상남도,48123, 창원시,202302,"1,018,699","108,738","172,005",0.632,3,35.23720,128.68110
48,경상남도,48121, 창원시,202302,"1,018,699","108,738","172,005",0.632,3,35.23720,128.68110
48,경상남도,48125, 창원시,202302,"1,018,699","108,738","172,005",0.632,3,35.23720,128.68110
48,경상남도,48127, 창원시,202302,"1,018,699","108,738","172,005",0.632,3,35.23720,128.68110
48,경상남도,48129, 창원시,202302,"1,018,699","108,738","172,005",0.632,3,35.23720,128.68110
43,충청북도,43112, 청주시,202302,"849,621","105,846","128,482",0.824,3,36.63570,127.49120
43,충청북도,43113, 청주시,202302,"849,621","105,846","128,482",0.824,3,36.63570,127.49120
43,충청북도,43114, 청주시,202302,"849,621","105,846","128,482",0.824,3,36.63570,127.49120
41,경기도,41281, 고양시,202302,"1,078,087","140,140","165,033",0.849,3,37.65840,126.83200
41,경기도,41285, 고양시,202302,"1,078,087","140,140","165,033",0.849,3,37.65840,126.83200
41,경기도,41287, 고양시,202302,"1,078,087","140,140","165,033",0.849,3,37.65840,126.83200
