,__肄__,__,_뎔援ъ_,_뎔援, __ ,珥__援,20-39 ъ_멸뎄,65 댁_ 멸뎄,吏諛⑹_硫몄__,吏諛⑹_硫몄___瑜,__(x),寃쎈_(y),__留ㅺ린湲
100,11,__밸_,11560, __ш뎄,202302,"376,410","65,941","63,957",1.031,2,37.5265,126.8962,74.93936944
101,11,__밸_,11215, 愿__援,202302,"337,071","59,372","54,210",1.095,2,37.5388,127.0827,80.11317704
102,11,__밸_,11620, 愿_뎄,202302,"487,430","95,755","82,435",1.162,2,37.4654,126.9436,85.52950687
103,11,__밸_,11440, 留__援,202302,"365,447","66,860","55,975",1.194,2,37.5662,126.9018,88.11641067
104,26,遺곌__,26200, __援,202302,"107,783","9,172","32,919",0.279,4,35.0911,129.0655,14.14713015
105,26,遺곌__,26170, _뎄,202302,"85,988","9,710","24,437",0.397,4,35.1299,129.049,23.68633791
106,26,遺곌__,26140, _뎄,202302,"104,952","11,488","28,604",0.402,4,35.1159,129.0225,24.09054163
107,26,遺곌__,26110, 以_뎄,202302,"39,711","5,089","11,550",0.441,4,35.1068,129.0312,27.24333064
108,26,遺곌__,26410, 湲__援,202302,"220,223","24,245","52,505",0.462,4,35.2549,129.089,28.94098626
109,26,遺곌__,26380, ы_援,202302,"302,091","32,342","66,407",0.487,4,35.1042,128.9733,30.96200485
110,26,遺곌__,26290, ④뎄,202302,"256,371","28,437","57,346",0.496,4,35.1324,129.1037,31.68957154
111,26,遺곌__,26530, ъ_援,202302,"203,685","22,913","43,447",0.527,3,35.1627,128.9783,34.1956346
112,26,遺곌__,26470, 곗_援,202302,"203,048","23,919","44,371",0.539,3,35.1802,129.0814,35.16572352
113,26,遺곌__,26350, 댁_援,202302,"385,516","41,962","76,865",0.546,3,35.1631,129.1607,35.73160873
114,26,遺곌__,26320, 遺_뎄,202302,"278,059","30,882","56,344",0.548,3,35.2164,129.0087,35.89329022
115,26,遺곌__,26260, __援,202302,"273,351","30,644","55,421",0.553,3,35.2048,129.0835,36.29749394
116,26,遺곌__,26500, __援,202302,"175,179","23,963","41,047",0.584,3,35.1576,129.114,38.80355699
117,26,遺곌__,26710, 湲곗_援,202302,"179,328","19,316","31,615",0.611,3,35.3228,129.2262,40.98625707
118,26,遺곌__,26230, 遺곗_援,202302,"357,345","50,351","76,362",0.659,3,35.1631,129.0516,44.86661277
119,26,遺곌__,26440, 媛__援,202302,"142,886","17,391","19,179",0.907,3,35.2111,128.9788,64.91511722
120,30,___,30140, 以_뎄,202302,"226,421","25,767","49,195",0.524,3,36.3256,127.4266,33.95311237
121,30,___,30110, _뎄,202302,"219,610","24,692","46,224",0.534,3,36.3515,127.4239,34.76151981
122,30,___,30230, _뎄,202302,"171,946","18,756","31,579",0.594,3,36.368,127.405,39.61196443
123,30,___,30170, _뎄,202302,"469,709","65,491","68,607",0.955,3,36.3503,127.3662,68.79547292
124,30,___,30200, __援,202302,"358,189","50,362","39,421",1.278,2,36.3625,127.3426,94.90703314
125,27,援ш__,27170, _뎄,202302,"158,968","15,037","41,182",0.365,4,35.8704,128.5564,21.09943411
126,27,援ш__,27200, ④뎄,202302,"141,762","17,455","35,806",0.487,4,35.8313,128.6097,30.96200485
127,27,援ш__,27140, _뎄,202302,"338,610","37,685","73,867",0.51,3,35.8747,128.6269,32.82134196
128,27,援ш__,27260, __援,202302,"410,761","43,069","72,552",0.594,3,35.8572,128.6336,39.61196443
129,27,援ш__,27290, ъ_援,202302,"537,040","61,971","90,070",0.688,3,35.8223,128.541,47.21099434
130,27,援ш__,27230, 遺_뎄,202302,"429,014","50,088","71,085",0.705,3,35.8923,128.5916,48.58528698
131,27,援ш__,27110, 以_뎄,202302,"81,791","12,356","16,237",0.761,3,35.8683,128.5988,53.11236863
132,27,援ш__,27710, ъ_援,202302,"262,716","29,932","38,363",0.78,3,35.7989,128.4989,54.64834276
133,29,愿_＜愿__,29110, _뎄,202302,"106,101","14,060","23,529",0.598,3,35.1399,126.9194,39.93532741
134,29,愿_＜愿__,29155, ④뎄,202302,"211,907","24,532","40,993",0.598,3,35.1333,126.9004,39.93532741
135,29,愿_＜愿__,29170, 遺_뎄,202302,"424,013","52,848","71,358",0.741,3,35.1663,126.9185,51.49555376
136,29,愿_＜愿__,29140, _뎄,202302,"287,237","37,312","46,362",0.805,3,35.1502,126.8565,56.66936136
137,29,愿_＜愿__,29200, 愿__援,202302,"399,669","50,883","42,316",1.202,2,35.1729,126.8118,88.76313662
138,47,寃쎌_遺__,47720, 援곗_援,202302,"23,277","1,050","10,101",0.104,5,36.1699,128.647,0
139,47,寃쎌_遺__,47730, __援,202302,"50,042","2,354","22,310",0.106,5,36.3509,128.6874,0.161681487
140,47,寃쎌_遺__,47920, 遊__援,202302,"30,048","1,365","12,071",0.113,5,36.8926,128.7439,0.727566694
141,47,寃쎌_遺__,47750, 泥_援,202302,"24,245","1,172","9,860",0.119,5,36.4331,129.0514,1.212611156
142,47,寃쎌_遺__,47820, 泥_援,202302,"41,664","2,084","16,981",0.123,5,35.6516,128.7189,1.535974131
143,47,寃쎌_遺__,47760, __援,202302,"15,931",816,"6,410",0.127,5,36.6663,129.1199,1.859337106
144,47,寃쎌_遺__,47770, __援,202302,"34,560","1,827","14,053",0.13,5,36.4187,129.3742,2.101859337
145,47,寃쎌_遺__,47840, 깆＜援,202302,"42,570","2,422","15,082",0.161,5,35.9192,128.2753,4.607922393
146,47,寃쎌_遺__,47830, 怨__援,202302,"30,319","1,765","10,566",0.167,5,35.7159,128.2435,5.092966855
147,47,寃쎌_遺__,47250, _＜,202302,"94,698","6,068","32,138",0.189,5,36.4074,128.1565,6.871463217
148,47,寃쎌_遺__,47280, 臾멸꼍,202302,"69,861","4,901","22,973",0.213,4,36.5911,128.1935,8.811641067
149,47,寃쎌_遺__,47930, 몄_援,202302,"46,849","3,294","14,361",0.229,4,37.0392,129.4094,10.10509297
150,47,寃쎌_遺__,47900, __援,202302,"55,697","4,224","17,708",0.239,4,36.6412,128.4405,10.9135004
151,47,寃쎌_遺__,47940, 몃_援,202302,"8,986",610,"2,520",0.242,4,37.4835,130.8899,11.15602264
152,47,寃쎌_遺__,47210, _＜,202302,"100,499","7,287","29,899",0.244,4,36.8241,128.623,11.31770412
153,47,寃쎌_遺__,47230, __,202302,"100,962","7,575","31,034",0.244,4,35.9754,128.9381,11.31770412
154,47,寃쎌_遺__,47170, __,202302,"154,138","13,643","41,512",0.329,4,36.5681,128.7293,18.18916734
155,47,寃쎌_遺__,47130, 寃쎌＜,202302,"248,893","21,160","62,332",0.339,4,35.856,129.224,18.99757478
156,47,寃쎌_遺__,47150, 源泥__,202302,"138,980","12,250","34,972",0.35,4,36.1337,128.1198,19.88682296
157,47,寃쎌_遺__,47110, ы_,202302,"495,229","46,748","99,567",0.47,4,36.0194,129.3434,29.58771221
158,47,寃쎌_遺__,47850, 移_끝援,202302,"112,074","10,136","20,159",0.503,3,35.9891,128.4077,32.25545675
159,47,寃쎌_遺__,47290, 寃쎌_,202302,"267,490","30,470","50,123",0.608,3,35.8279,128.7373,40.74373484
160,47,寃쎌_遺__,47190, 援щ,202302,"407,387","49,721","45,776",1.086,2,36.1222,128.3457,79.38561035
161,48,寃쎌_⑤_,48890, ⑹_援,202302,"41,979","2,007","17,776",0.113,5,35.5658,128.1679,0.727566694
162,48,寃쎌_⑤_,48840, ⑦_援,202302,"41,417","2,077","16,728",0.124,5,34.8339,127.8947,1.616814875
163,48,寃쎌_⑤_,48860, 곗껌援,202302,"34,103","1,699","13,610",0.125,5,35.4116,127.8785,1.697655618
164,48,寃쎌_⑤_,48720, __援,202302,"25,899","1,351","10,330",0.131,5,35.3192,128.2712,2.182700081
165,48,寃쎌_⑤_,48850, __援,202302,"42,283","2,135","16,199",0.132,5,35.0671,127.7556,2.263540825
166,48,寃쎌_⑤_,48870, ⑥_援,202302,"37,446","2,164","13,810",0.157,5,35.2774,128.4203,4.284559418
167,48,寃쎌_⑤_,48820, 怨__援,202302,"50,103","2,840","17,109",0.166,5,35.6674,128.2337,5.012126112
168,48,寃쎌_⑤_,48740, 李쎈_援,202302,"58,154","3,374","20,217",0.167,5,35.5431,128.5007,5.092966855
169,48,寃쎌_⑤_,48270, 諛__,202302,"102,682","7,028","32,647",0.215,4,35.4919,128.7472,8.973322555
170,48,寃쎌_⑤_,48730, ⑥_援,202302,"61,206","4,001","17,471",0.229,4,35.2774,128.4203,10.10509297
171,48,寃쎌_⑤_,48880, 嫄곗갹援,202302,"60,324","4,337","18,117",0.239,4,35.6825,127.9192,10.9135004
172,48,寃쎌_⑤_,48240, ъ_,202302,"109,153","8,592","26,501",0.324,4,35.0035,128.0691,17.78496362
173,48,寃쎌_⑤_,48220, 듭_,202302,"122,172","9,435","27,730",0.34,4,34.8497,128.431,19.07841552
174,48,寃쎌_⑤_,48170, 吏_＜,202302,"343,167","37,773","64,858",0.582,3,35.1998,128.0841,38.64187551
175,48,寃쎌_⑤_,48120, 李쎌_,202302,"1,018,699","108,738","172,005",0.632,3,35.2372,128.6811,42.68391269
176,48,寃쎌_⑤_,48330, __,202302,"353,744","38,465","56,268",0.684,3,35.3381,129.0267,46.88763137
177,48,寃쎌_⑤_,48310, 嫄곗_,202302,"235,638","22,591","31,593",0.715,3,34.8882,128.61,49.39369442
178,48,寃쎌_⑤_,48250, 源댁_,202302,"534,212","58,511","70,985",0.824,3,35.2279,128.8738,58.20533549
179,41,寃쎄린,41800, 곗_援,202302,"41,830","3,343","12,440",0.269,4,38.0966,127.0654,13.33872272
180,41,寃쎄린,41820, 媛_뎔,202302,"62,069","4,867","17,988",0.271,4,37.8317,127.5096,13.5004042
181,41,寃쎄린,41830, __援,202302,"122,478","9,381","34,613",0.271,4,37.4914,127.4871,13.5004042
182,41,寃쎄린,41670, ъ＜,202302,"113,243","10,367","27,519",0.377,4,37.2973,127.6281,22.06952304
183,41,寃쎄린,41650, ъ_,202302,"145,927","13,340","33,243",0.401,4,37.8944,127.2007,24.00970089
184,41,寃쎄린,41250, __泥__,202302,"90,883","9,094","20,607",0.441,4,37.9018,127.06,27.24333064
185,41,寃쎄린,41550, __,202302,"188,634","19,740","36,671",0.538,3,37.005,127.2646,35.08488278
186,41,寃쎄린,41630, _＜,202302,"248,568","27,455","42,551",0.645,3,37.7854,127.0451,43.73484236
187,41,寃쎄린,41360, ⑥_二쇱_,202302,"736,484","84,104","116,429",0.722,3,37.604,127.1683,49.95957963
188,41,寃쎄린,41500, 댁_,202302,"222,306","26,476","35,144",0.753,3,37.2647,127.4424,52.46564268
189,41,寃쎄린,41610, 愿_＜,202302,"390,950","45,825","60,257",0.76,3,37.4085,127.256,53.03152789
190,41,寃쎄린,41150, __遺,202302,"463,053","59,726","78,351",0.762,3,37.738,127.0473,53.19320938
191,41,寃쎄린,41210, 愿__,202302,"286,584","35,242","45,466",0.775,3,37.4782,126.8647,54.24413905
192,41,寃쎄린,41190, 遺泥__,202302,"787,673","102,368","127,274",0.804,3,37.5034,126.7667,56.58852061
193,41,寃쎄린,41480, _＜,202302,"495,810","59,824","74,364",0.804,3,37.7599,126.7759,56.58852061
194,41,寃쎄린,41310, 援щ━,202302,"188,436","23,702","29,446",0.805,3,37.6034,127.1396,56.66936136
195,41,寃쎄린,41430, __,202302,"159,701","20,648","25,205",0.819,3,37.3445,126.9733,57.80113177
196,41,寃쎄린,41460, ⑹_,202302,"1,074,133","131,045","158,774",0.825,3,37.2411,127.1774,58.28617623
197,41,寃쎄린,41410, 援고_,202302,"265,648","34,069","41,232",0.826,3,37.3611,126.9357,58.36701698
198,41,寃쎄린,41170, __,202302,"547,583","72,229","85,408",0.846,3,37.3943,126.9568,59.98383185
199,41,寃쎄린,41130, 깅_,202302,"924,051","124,020","146,388",0.847,3,37.4232,127.1388,60.06467259
200,41,寃쎄린,41280, 怨__,202302,"1,078,087","140,140","165,033",0.849,3,37.6584,126.832,60.22635408
201,41,寃쎄린,41570, 源ъ_,202302,"484,536","59,768","67,737",0.882,3,37.6153,126.7156,62.89409863
202,41,寃쎄린,41290, 怨쇱_,202302,"78,526","10,574","11,294",0.936,3,37.4274,126.9893,67.25949879
203,41,寃쎄린,41450, __,202302,"326,704","44,454","45,156",0.984,3,37.5404,127.2179,71.13985449
204,41,寃쎄린,41220, __,202302,"581,524","73,479","74,141",0.991,3,36.9946,127.0981,71.70573969
205,41,寃쎄린,41270, __,202302,"639,355","83,830","82,626",1.015,2,37.3155,126.829,73.64591754
206,41,寃쎄린,41110, __,202302,"1,192,686","170,562","148,903",1.145,2,37.2636,127.0286,84.15521423
207,41,寃쎄린,41370, ㅼ_,202302,"229,415","29,388","25,453",1.155,2,37.1499,127.077,84.96362167
208,41,寃쎄린,41390, __,202302,"515,058","65,157","55,737",1.169,2,37.3807,126.8069,86.09539208
209,41,寃쎄린,41590, __,202302,"918,865","121,509","90,638",1.341,2,37.1995,126.8312,100
210,42,媛__,42730, ≪_援,202302,"46,462","2,863","15,380",0.186,5,37.4887,127.9846,6.628940986
211,42,媛__,42770, __援,202302,"34,825","2,071","10,967",0.189,5,37.3791,128.8183,6.871463217
212,42,媛__,42760, _갹援,202302,"40,861","2,463","13,003",0.189,5,37.3703,128.3924,6.871463217
213,42,媛__,42750, __援,202302,"37,561","2,364","12,302",0.192,5,37.1849,37.1849,7.113985449
214,42,媛__,42830, __援,202302,"27,849","1,833","9,104",0.201,4,38.1061,128.6281,7.841552142
215,42,媛__,42820, 怨__援,202302,"27,197","1,938","8,574",0.226,4,38.3803,128.4675,9.862570736
216,42,媛__,42720, __援,202302,"67,815","4,912","20,388",0.241,4,37.6911,127.8787,11.07518189
217,42,媛__,42190, _갚,202302,"39,131","2,685","11,012",0.244,4,37.1598,128.985,11.31770412
218,42,媛__,42230, 쇱_,202302,"63,028","5,171","17,582",0.294,4,37.4442,129.1657,15.35974131
219,42,媛__,42780, 泥__援,202302,"42,064","3,604","10,738",0.336,4,38.2153,127.2563,18.75505255
220,42,媛__,42790, __援,202302,"23,230","2,073","5,934",0.349,4,38.1052,127.7067,19.80598222
221,42,媛__,42170, __,202302,"89,234","7,441","20,134",0.37,4,37.5209,129.123,21.50363783
222,42,媛__,42800, _뎄援,202302,"21,287","1,926","5,120",0.376,4,38.1059,127.9894,21.9886823
223,42,媛__,42810, 몄_援,202302,"32,126","2,879","7,345",0.392,4,38.0701,128.171,23.2821342
224,42,媛__,42150, 媛__,202302,"210,940","20,149","50,013",0.403,4,37.751,128.8764,24.17138238
225,42,媛__,42210, __,202302,"82,685","7,836","17,721",0.442,4,38.2049,128.5644,27.32417138
226,42,媛__,42110, 異__,202302,"286,839","33,894","56,403",0.601,3,37.8816,127.7291,40.17784964
227,42,媛__,42130, _＜,202302,"360,933","42,608","61,513",0.693,3,37.3418,127.9201,47.61519806
